Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
406,Liam Millar,DF,ca Canada,22,1.ch Basel,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
407,Kamal Miller,DF,ca Canada,25,1.us CF Montréal,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
408,Kim Min-jae,DF,kr Korea Republic,25,1.it Napoli,1996,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
409,Takumi Minamino,FW,jp Japan,27,1.fr Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,Matches
410,Kaoru Mitoma,MF,jp Japan,25,1.eng Brighton,1997,4,0,165,1.8,0,1,1,0,0,0,0,0,0.1,0.1,1.2,1.3,8,3,6,0.00,0.55,0.55,0.00,0.55,0.05,0.83,0.88,0.05,0.88,Matches
411,Aleksandar Mitrović,FW,rs Serbia,27,1.eng Fulham,1994,3,3,262,2.9,2,0,2,2,0,0,1,0,1.6,1.6,0.7,2.4,2,5,11,0.69,0.00,0.69,0.69,0.69,0.57,0.24,0.81,0.57,0.81,Matches
412,Stefan Mitrović,DF,rs Serbia,32,1.es Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
413,Filip Mladenović,DF,rs Serbia,30,1.pl Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
414,Luka Modrić,MF,hr Croatia,36,1.es Real Madrid,1985,7,7,653,7.3,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,21,82,21,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.16,0.06,0.16,Matches
415,Ismaeel Mohammad,DF,qa Qatar,32,1.qa Al Duhail SC,1990,2,2,174,1.9,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,6,1,9,0.00,0.52,0.52,0.00,0.52,0.21,0.04,0.26,0.21,0.26,Matches
416,Milad Mohammadi,DF,ir IR Iran,28,1.gr AEK Athens,1993,3,3,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
417,Sadegh Moharrami,DF,ir IR Iran,26,1.hr Dinamo Zagreb,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
418,Nahuel Molina,DF,ar Argentina,24,1.es Atlético Madrid,1998,7,6,567,6.3,1,1,2,1,0,0,0,0,0.5,0.5,0.3,0.8,10,15,32,0.16,0.16,0.32,0.16,0.32,0.07,0.05,0.12,0.07,0.12,Matches
419,César Montes,DF,mx Mexico,25,1.mx Monterrey,1997,3,3,270,3.0,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,3,12,1,0.00,0.33,0.33,0.00,0.33,0.06,0.17,0.23,0.06,0.23,Matches
420,Gonzalo Montiel,"DF,MF",ar Argentina,25,1.es Sevilla,1997,4,1,118,1.3,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,4,4,11,0.00,0.00,0.00,0.00,0.00,0.02,0.40,0.43,0.02,0.43,Matches
421,Kim Moonhwan,DF,kr Korea Republic,26,1.kr Jeonbuk Hyundai,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,2,13,33,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
422,Kieffer Moore,FW,wls Wales,29,1.eng Bournemouth,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.3,2,7,13,0.00,0.00,0.00,0.00,0.00,0.41,0.10,0.51,0.41,0.51,Matches
423,Shaq Moore,DF,us United States,25,1.us Nashville SC,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
424,Aaron Mooy,MF,au Australia,31,1.sct Celtic,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,19,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
425,Álvaro Morata,FW,es Spain,29,1.es Atlético Madrid,1992,4,1,185,2.1,3,1,4,3,0,0,0,0,1.4,1.4,0.2,1.6,5,5,13,1.46,0.49,1.95,1.46,1.95,0.79,0.14,0.93,0.79,0.93,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
426,Héctor Moreno,DF,mx Mexico,34,1.mx Monterrey,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,16,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
427,Hidemasa Morita,MF,jp Japan,27,1.pt Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,11,4,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
428,Joe Morrell,MF,wls Wales,25,3.eng Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
429,Jordan Morris,"FW,DF",us United States,27,1.us Seattle Sounders,1994,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
430,Youssoufa Moukoko,FW,de Germany,17,1.de Dortmund,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
431,Mason Mount,MF,eng England,23,1.eng Chelsea,1999,4,2,186,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,9,17,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12,Matches
432,Youssef Msakni,"MF,FW",tn Tunisia,31,1.qa Al-Arabi,1990,2,2,169,1.9,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,5,7,17,0.00,0.00,0.00,0.00,0.00,0.29,0.34,0.62,0.29,0.62,Matches
433,Thomas Müller,"FW,MF",de Germany,32,1.de Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,2,6,13,0.00,0.00,0.00,0.00,0.00,0.14,0.28,0.42,0.14,0.42,Matches
434,Munir,GK,ma Morocco,33,1.sa Al-Wehda,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
435,Mohammed Muntari,"FW,MF",qa Qatar,28,1.qa Al Duhail SC,1993,3,0,63,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,1.43,0.00,1.43,1.43,1.43,0.30,0.03,0.33,0.30,0.33,Matches
436,Yunus Musah,MF,us United States,19,1.es Valencia,2002,4,4,343,3.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,14,23,16,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.11,0.08,0.11,Matches
437,Jamal Musiala,"MF,FW",de Germany,19,1.de Bayern Munich,2003,3,3,258,2.9,0,1,1,0,0,0,0,0,1.9,1.9,0.9,2.8,21,19,31,0.00,0.35,0.35,0.00,0.35,0.67,0.30,0.97,0.67,0.97,Matches
438,Joakim Mæhle,DF,dk Denmark,25,1.it Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,8,32,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
439,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27,1.tr Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
440,Yuto Nagatomo,"MF,DF",jp Japan,35,1.jp FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,4,8,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
441,Sami Al-Najei,MF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
442,Keylor Navas,GK,cr Costa Rica,35,1.fr Paris S-G,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
443,Iliman Ndiaye,"FW,MF",sn Senegal,22,2.eng Sheffield Utd,2000,3,2,135,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,3,0,16,0.00,0.67,0.67,0.00,0.67,0.09,0.14,0.22,0.09,0.22,Matches
444,Victor Nelsson,DF,dk Denmark,23,1.tr Galatasaray,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
445,Manuel Neuer,GK,de Germany,36,1.de Bayern Munich,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
446,Rúben Neves,MF,pt Portugal,25,1.eng Wolves,1997,5,4,268,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,19,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
447,Neymar,MF,br Brazil,30,1.fr Paris S-G,1992,3,3,279,3.1,2,0,2,1,1,1,0,0,2.7,1.9,0.8,2.7,9,23,23,0.65,0.00,0.65,0.32,0.32,0.98,0.29,1.27,0.70,0.98,Matches
448,Moumi Ngamaleu,"FW,MF",cm Cameroon,27,1.ru Dynamo Mosc,1994,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,12,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
449,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1.cm Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,2.23,2.23,0.00,2.23,Matches
450,Nicolas Nkoulou,DF,cm Cameroon,32,1.gr Aris,1990,2,2,180,2.0,0,1,1,0,0,0,1,0,0.3,0.3,0.0,0.3,0,2,1,0.00,0.50,0.50,0.00,0.50,0.14,0.00,0.14,0.14,0.14,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
451,Andries Noppert,GK,nl Netherlands,28,1.nl Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
452,Ahmad Nourollahi,MF,ir IR Iran,29,1.ae Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
453,Olivier Ntcham,MF,cm Cameroon,26,2.eng Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,4,0,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.25,0.16,0.25,Matches
454,Matheus Nunes,MF,pt Portugal,23,1.eng Wolves,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.14,0.03,0.14,Matches
455,Darwin Núñez,FW,uy Uruguay,22,1.eng Liverpool,1999,3,3,240,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,6,3,26,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23,Matches
456,Christian Nørgaard,MF,dk Denmark,28,1.eng Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
457,Guillermo Ochoa,GK,mx Mexico,36,1.mx América,1985,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
458,Denis Odoi,DF,gh Ghana,34,1.be Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
459,Noah Okafor,"FW,MF",ch Switzerland,22,1.at RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,1,9,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14,Matches
460,Mathías Olivera,DF,uy Uruguay,24,1.it Napoli,1997,3,3,253,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,1,8,10,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18,Matches
461,Dani Olmo,FW,es Spain,24,1.de RB Leipzig,1998,4,4,367,4.1,1,1,2,1,0,0,0,0,1.4,1.4,0.5,1.9,6,11,61,0.25,0.25,0.49,0.25,0.49,0.34,0.11,0.46,0.34,0.46,Matches
462,Amadou Onana,MF,be Belgium,20,1.eng Everton,2001,2,1,104,1.2,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,0,2,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches
463,André Onana,GK,cm Cameroon,26,1.it Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
464,Gaël Ondoua,MF,cm Cameroon,26,2.de Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
465,Loïs Openda,FW,be Belgium,22,1.fr Lens,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
466,Mislav Oršić,FW,hr Croatia,29,1.hr Dinamo Zagreb,1992,6,1,162,1.8,1,2,3,1,0,0,0,0,0.4,0.4,1.1,1.4,10,5,15,0.56,1.11,1.67,0.56,1.67,0.23,0.68,0.90,0.23,0.90,Matches
467,Jonathan Osorio,"MF,FW",ca Canada,30,1.us Toronto FC,1992,3,1,119,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,3,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
468,Nicolás Otamendi,DF,ar Argentina,34,1.pt Benfica,1988,7,7,690,7.7,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,7,34,2,0.00,0.13,0.13,0.00,0.13,0.00,0.02,0.03,0.00,0.03,Matches
469,Otávio,MF,pt Portugal,27,1.pt Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,12,11,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22,Matches
470,Samuel Oum Gouet,MF,cm Cameroon,24,1.be Mechelen,1997,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
471,Azzedine Ounahi,MF,ma Morocco,22,1.fr Angers,2000,7,6,568,6.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,16,26,19,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
472,Bryan Oviedo,DF,cr Costa Rica,32,1.us Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
473,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
474,Juan Pablo Vargas,DF,cr Costa Rica,27,1.co Millonarios,1995,1,1,90,1.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,0,0,1.00,0.00,1.00,1.00,1.00,0.46,0.00,0.46,0.46,0.46,Matches
475,Exequiel Palacios,"MF,DF",ar Argentina,23,1.de Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
476,João Palhinha,MF,pt Portugal,26,1.eng Fulham,1995,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.30,0.36,0.06,0.36,Matches
477,Lucas Paquetá,MF,br Brazil,24,1.eng West Ham,1997,4,4,314,3.5,1,1,2,1,0,0,0,0,0.8,0.8,1.5,2.3,2,20,20,0.29,0.29,0.57,0.29,0.57,0.24,0.43,0.67,0.24,0.67,Matches
478,Leandro Paredes,MF,ar Argentina,27,1.it Juventus,1994,5,2,225,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
479,Thomas Partey,MF,gh Ghana,29,1.eng Arsenal,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
480,Mario Pašalić,"FW,MF",hr Croatia,27,1.it Atalanta,1995,7,2,271,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,4,6,14,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
481,Benjamin Pavard,DF,fr France,26,1.de Bayern Munich,1996,1,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
482,Strahinja Pavlović,DF,rs Serbia,21,1.at RB Salzburg,2001,3,3,235,2.6,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,17,3,0.38,0.00,0.38,0.38,0.38,0.07,0.00,0.07,0.07,0.07,Matches
483,Pedri,MF,es Spain,19,1.es Barcelona,2002,4,4,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,15,51,10,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches
484,Pedro,FW,br Brazil,24,1.br Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,5,0.00,0.00,0.00,0.00,0.00,1.39,0.00,1.39,1.39,1.39,Matches
485,Facundo Pellistri,"MF,FW",uy Uruguay,20,1.eng Manchester Utd,2001,3,2,181,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,5,20,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Matches
486,Pepe,DF,pt Portugal,39,1.pt Porto,1983,4,4,360,4.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,5,15,0,0.25,0.00,0.25,0.25,0.25,0.12,0.00,0.12,0.12,0.12,Matches
487,Danilo Pereira,DF,pt Portugal,30,1.fr Paris S-G,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
488,Ivan Perišić,"FW,DF",hr Croatia,33,1.eng Tottenham,1989,7,7,669,7.4,1,3,4,1,0,0,0,0,0.9,0.9,0.9,1.8,27,21,63,0.13,0.40,0.54,0.13,0.54,0.13,0.12,0.25,0.13,0.25,Matches
489,Bruno Petković,FW,hr Croatia,27,1.hr Dinamo Zagreb,1994,6,1,234,2.6,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.5,6,4,10,0.38,0.00,0.38,0.38,0.38,0.05,0.15,0.20,0.05,0.20,Matches
490,Germán Pezzella,DF,ar Argentina,30,1.es Betis,1991,3,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
491,Kalvin Phillips,MF,eng England,26,1.eng Manchester City,1995,2,0,42,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,2.14,2.14,0.00,2.14,0.00,0.17,0.17,0.00,0.17,Matches
492,Krzysztof Piątek,FW,pl Poland,26,1.it Salernitana,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
493,Jordan Pickford,GK,eng England,28,1.eng Everton,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
494,Orbelín Pineda,MF,mx Mexico,26,1.gr AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,4,3,0.00,0.00,0.00,0.00,0.00,0.38,0.07,0.45,0.38,0.45,Matches
495,Gonzalo Plata,"MF,FW",ec Ecuador,21,1.es Valladolid,2000,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,7,11,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
496,Jackson Porozo,DF,ec Ecuador,21,1.fr Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
497,Morteza Pouraliganji,DF,ir IR Iran,30,1.ir Persepolis,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,3,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.09,0.03,0.09,Matches
498,Ángelo Preciado,DF,ec Ecuador,24,1.be Genk,1998,3,3,264,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,2,7,5,0.00,0.34,0.34,0.00,0.34,0.02,0.14,0.17,0.02,0.17,Matches
499,Christian Pulisic,"FW,MF",us United States,23,1.eng Chelsea,1998,4,4,315,3.5,1,2,3,1,0,0,0,0,1.1,1.1,0.9,2.0,23,18,28,0.29,0.57,0.86,0.29,0.86,0.30,0.26,0.56,0.30,0.56,Matches
500,Adrien Rabiot,MF,fr France,27,1.it Juventus,1995,6,5,483,5.4,1,1,2,1,0,0,1,0,1.0,1.0,0.9,1.9,10,18,18,0.19,0.19,0.37,0.19,0.37,0.19,0.16,0.36,0.19,0.36,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Nemanja Radonjić,"DF,FW",rs Serbia,26,1.it Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,6,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.19,0.15,0.19,Matches
502,Baba Rahman,DF,gh Ghana,27,2.eng Reading,1994,3,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
503,Gonçalo Ramos,"FW,MF",pt Portugal,20,1.pt Benfica,2001,4,2,152,1.7,3,1,4,3,0,0,0,0,1.5,1.5,0.4,2.0,1,3,12,1.78,0.59,2.37,1.78,2.37,0.91,0.24,1.15,0.91,1.15,Matches
504,Aaron Ramsey,MF,wls Wales,31,1.fr Nice,1990,3,3,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,8,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
505,Raphinha,FW,br Brazil,25,1.es Barcelona,1996,5,4,315,3.5,0,1,1,0,0,0,0,0,1.2,1.2,1.3,2.5,17,9,32,0.00,0.29,0.29,0.00,0.29,0.35,0.38,0.72,0.35,0.72,Matches
506,Marcus Rashford,FW,eng England,24,1.eng Manchester Utd,1997,5,1,140,1.6,3,0,3,3,0,0,0,0,1.6,1.6,0.0,1.6,5,4,17,1.93,0.00,1.93,1.93,1.93,1.01,0.00,1.01,1.01,1.01,Matches
507,David Raum,DF,de Germany,24,1.de RB Leipzig,1998,3,3,242,2.7,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,8,10,40,0.00,0.37,0.37,0.00,0.37,0.00,0.22,0.22,0.00,0.22,Matches
